participant,part2instr_presented,target_cor,variable,abs_err,variablef
800764,0,1,err_to_uncor,26.8633559742808,uncorr. part
800764,0,0.8,err_to_uncor,20.6136911211776,uncorr. part
800764,0,0,err_to_uncor,24.9920402056023,uncorr. part
800764,-1,1,err_to_uncor,27.6947485805797,uncorr. part
800764,-1,0.8,err_to_uncor,38.3817352474469,uncorr. part
800764,-1,0,err_to_uncor,35.6340372025234,uncorr. part
800799,0,1,err_to_uncor,16.6305898379694,uncorr. part
800799,0,0,err_to_uncor,15.2827369238614,uncorr. part
800799,0,0.8,err_to_uncor,12.0749545212198,uncorr. part
800799,1,0.8,err_to_uncor,24.5270926354525,uncorr. part
800799,1,0,err_to_uncor,12.975180752535,uncorr. part
800799,1,1,err_to_uncor,21.4959191241446,uncorr. part
800831,0,0,err_to_uncor,24.6296538452219,uncorr. part
800831,0,0.8,err_to_uncor,19.7725416225877,uncorr. part
800831,0,1,err_to_uncor,17.6087666408891,uncorr. part
800831,-1,1,err_to_uncor,20.4772598594006,uncorr. part
800831,-1,0.8,err_to_uncor,17.6257494492926,uncorr. part
800831,-1,0,err_to_uncor,12.1342231488285,uncorr. part
800986,0,0,err_to_uncor,13.8547625444536,uncorr. part
800986,0,0.8,err_to_uncor,23.9136326357261,uncorr. part
800986,0,1,err_to_uncor,20.1691142396451,uncorr. part
800986,-1,1,err_to_uncor,30.493009613602,uncorr. part
800986,-1,0.8,err_to_uncor,17.3654011430764,uncorr. part
800986,-1,0,err_to_uncor,14.9752883421808,uncorr. part
801154,0,0.8,err_to_uncor,19.0274790851438,uncorr. part
801154,0,0,err_to_uncor,17.3035201214189,uncorr. part
801154,0,1,err_to_uncor,16.9737242756257,uncorr. part
801154,-1,0.8,err_to_uncor,18.2469397713,uncorr. part
801154,-1,0,err_to_uncor,19.5016236990606,uncorr. part
801154,-1,1,err_to_uncor,18.2222568914841,uncorr. part
801528,0,1,err_to_uncor,28.7672763169354,uncorr. part
801528,0,0.8,err_to_uncor,30.785495583245,uncorr. part
801528,0,0,err_to_uncor,39.1933108233453,uncorr. part
801528,1,1,err_to_uncor,22.0338457070562,uncorr. part
801528,1,0,err_to_uncor,20.5700453012047,uncorr. part
801528,1,0.8,err_to_uncor,26.8883593135709,uncorr. part
801565,0,1,err_to_uncor,20.9368772392344,uncorr. part
