participant,trial_counter,condition,target_to_competitor,decoy_reduction,decoy_on,chosen_item,correct,rt
20,152,perceptual,0.1,0.05,competitor,target,1,5.323
20,153,numeric,0.03,0.05,target,competitor,0,10.897
20,154,perceptual,0.1,0.2,competitor,target,1,6.093
20,155,numeric,0.03,0.05,target,target,1,10.546
20,156,perceptual,0.03,0.2,target,competitor,0,5.933
20,157,perceptual,0.03,0.2,competitor,target,1,3.618
20,158,perceptual,0.03,0.2,target,target,1,7.526
20,159,numeric,0.1,0.2,target,target,1,5.052
20,160,perceptual,0.03,0.05,competitor,target,1,10.87
20,161,perceptual,0.03,0.05,target,decoy,0,4.729
20,162,numeric,0.03,0.2,competitor,target,1,7.234
20,163,numeric,0.1,0.05,competitor,target,1,13.94
20,164,numeric,0.1,0.2,target,competitor,0,2.61
20,165,perceptual,0.1,0.05,target,target,1,5.333
20,166,perceptual,0.03,0.05,competitor,target,1,5.606
20,167,perceptual,0.03,0.05,competitor,target,1,5.31
20,168,numeric,0.03,0.2,competitor,target,1,5.137
20,169,perceptual,0.03,0.2,target,target,1,5.436
20,170,perceptual,0.03,0.2,target,target,1,5.41
20,171,perceptual,0.1,0.2,target,target,1,4.794
20,172,numeric,0.1,0.2,target,target,1,6.801
20,173,perceptual,0.03,0.2,target,target,1,6.271
20,174,numeric,0.1,0.05,competitor,target,1,9.714
20,175,perceptual,0.1,0.05,competitor,competitor,0,6.443
20,176,numeric,0.1,0.2,competitor,target,1,6.122
20,177,perceptual,0.1,0.05,target,target,1,6.548
20,178,perceptual,0.03,0.05,target,competitor,0,7.05
20,179,numeric,0.03,0.05,competitor,competitor,0,7.535
20,180,perceptual,0.03,0.2,competitor,target,1,8.55
20,181,numeric,0.03,0.05,target,target,1,7.069
20,182,perceptual,0.1,0.05,target,target,1,5.477
20,183,perceptual,0.1,0.05,target,target,1,4.969
20,184,perceptual,0.1,0.05,competitor,target,1,6.494
20,185,numeric,0.03,0.2,target,target,1,4.722
20,186,numeric,0.1,0.2,target,target,1,9.406
20,187,numeric,0.03,0.2,competitor,target,1,5.519
20,188,numeric,0.1,0.2,target,target,1,9.5
20,189,numeric,0.03,0.05,target,competitor,0,6.419
20,190,numeric,0.03,0.2,target,competitor,0,12.482
20,191,perceptual,0.1,0.05,target,target,1,5.261
20,192,perceptual,0.03,0.2,competitor,competitor,0,9.289
21,1,numeric,0.03,0.2,target,target,1,10.965
21,2,perceptual,0.1,0.2,competitor,target,1,8.971
21,3,numeric,0.1,0.05,target,target,1,13.252
21,4,numeric,0.03,0.2,competitor,target,1,9.765
21,5,perceptual,0.03,0.2,competitor,competitor,0,10.256
21,6,numeric,0.1,0.05,competitor,competitor,0,8.271
21,7,numeric,0.1,0.05,competitor,target,1,7.454
21,8,perceptual,0.1,0.2,competitor,target,1,11.149
21,9,numeric,0.1,0.05,competitor,target,1,12.038
21,10,perceptual,0.03,0.05,target,target,1,7.186
21,11,perceptual,0.1,0.2,target,target,1,4.613
21,12,numeric,0.1,0.2,competitor,competitor,0,16.442
21,13,numeric,0.03,0.2,target,target,1,12.275
21,14,perceptual,0.03,0.05,target,competitor,0,12.111
21,15,numeric,0.1,0.2,target,target,1,12.085
21,16,numeric,0.1,0.05,target,decoy,0,6.387
21,17,perceptual,0.1,0.05,target,target,1,10.581
21,18,numeric,0.03,0.2,competitor,competitor,0,12.783
21,19,perceptual,0.03,0.2,competitor,decoy,0,12.146
21,20,numeric,0.1,0.05,competitor,target,1,7.13
21,21,numeric,0.1,0.2,competitor,target,1,10.137
21,22,numeric,0.03,0.2,competitor,competitor,0,14.783
21,23,perceptual,0.1,0.2,target,target,1,4.876
21,24,perceptual,0.03,0.05,target,competitor,0,5.776
21,25,perceptual,0.03,0.05,competitor,competitor,0,7.112
21,26,perceptual,0.03,0.2,target,target,1,8.65
21,27,numeric,0.1,0.05,competitor,competitor,0,13.785
21,28,perceptual,0.1,0.2,target,target,1,5.298
21,29,perceptual,0.03,0.05,target,decoy,0,14.091
21,30,perceptual,0.03,0.05,target,target,1,6.063
21,31,numeric,0.03,0.05,target,target,1,8.227
21,32,perceptual,0.03,0.05,target,target,1,7.758
21,33,numeric,0.1,0.2,competitor,target,1,14.233
21,34,perceptual,0.1,0.2,target,target,1,6.419
21,35,perceptual,0.1,0.2,competitor,target,1,14.23
21,36,numeric,0.03,0.05,competitor,competitor,0,12.578
21,37,numeric,0.1,0.05,competitor,target,1,14.667
21,38,perceptual,0.1,0.05,competitor,competitor,0,7.5
21,39,perceptual,0.1,0.2,target,target,1,13.504
21,40,perceptual,0.03,0.2,competitor,competitor,0,11.125
21,41,perceptual,0.1,0.2,target,target,1,13.476
21,42,perceptual,0.03,0.05,competitor,target,1,14.069
21,43,perceptual,0.03,0.2,competitor,target,1,9.42
21,44,perceptual,0.1,0.05,target,competitor,0,14.904
21,45,perceptual,0.1,0.05,target,target,1,16.282
21,46,perceptual,0.1,0.05,competitor,target,1,11.407
21,47,perceptual,0.03,0.05,competitor,target,1,14.44
21,48,perceptual,0.03,0.2,competitor,competitor,0,10.581
21,49,perceptual,0.1,0.2,target,target,1,5.73
21,50,numeric,0.1,0.05,target,target,1,8.191
21,51,numeric,0.03,0.05,competitor,competitor,0,8.854
21,52,numeric,0.03,0.05,target,target,1,11.298
21,54,perceptual,0.03,0.05,target,target,1,6.265
21,55,perceptual,0.03,0.2,competitor,target,1,7.453
21,56,numeric,0.03,0.2,target,target,1,4.544
21,57,numeric,0.03,0.05,target,target,1,8.816
21,58,numeric,0.1,0.05,target,target,1,5.316
21,59,numeric,0.03,0.05,target,target,1,6.903
21,60,perceptual,0.03,0.2,competitor,competitor,0,6.034
21,61,numeric,0.03,0.05,competitor,competitor,0,6.623
21,62,numeric,0.1,0.05,target,target,1,11.322
